beitrag_id,plattform,kategorie,beitragstext,bildbeschreibung,sentiment,hashtags,autor_typ,verlinkte_themen
24,TikTok,Essen,Sonntagsbrunch mit Freunden – so lecker!,"Tisch mit Croissants, Kaffee und Obst",neutral,#so #mit,Influencer,"Bildung, Klima"
25,TikTok,Sport,Klettern lehrt Fokus und Kraft,Kletterer an einer steilen Felswand mit Seil,negativ,#und #kraft,NGO,"Technologie, Musik"
26,TikTok,Essen,Frühstück unter freiem Himmel,"Tisch mit Kaffee, Croissants und Sonnenstrahlen",positiv,#freiem #himmel,Partei,"Klima, Technologie"
27,Facebook,Sport,Yoga am Morgen bringt Klarheit für den Tag,Person bei Sonnenaufgang in der Yoga-Pose auf einer Matte,negativ,#tag #yoga,Influencer,"Bildung, Essen"
28,TikTok,Klima,Stadtbegrünung gegen Hitzewellen!,Grüne Dächer und Pflanzen an Häuserwänden,negativ,#gegen #stadtbegrünung,Privatperson,"Reisen, Politik"
29,Facebook,Wirtschaft,Kryptowährungen: Chance oder Risiko?,Symbolbild mit Bitcoin und Diagramm,negativ,#oder #risiko?,NGO,"Politik, Wirtschaft"
30,Facebook,Bildung,Lernen mit Tablets – aber bitte sinnvoll!,Schulkind mit Tablet im Klassenzimmer,positiv,#bitte #sinnvoll,Privatperson,"Klima, Politik"
31,Instagram,Wirtschaft,Bürokratie abbauen für den Mittelstand,Mensch mit Aktenordnern in einem Büro,positiv,#mittelstand #für,NGO,"Bildung, Politik"
32,TikTok,Klima,Klimastreik in 40 Städten – ein starkes Zeichen,Menschenmenge mit Schildern vor Rathaus,neutral,#in #klimastreik,Influencer,"Reisen, Sport"
33,Instagram,Musik,Vinyl ist zurück – Musik zum Anfassen,Plattenspieler mit aufgelegter Schallplatte,neutral,#vinyl #zurück,NGO,"Musik, Politik"
34,Instagram,Reisen,Roadtrip durch Skandinavien – unvergesslich!,Campervan auf einer Straße entlang eines Fjords,negativ,#unvergesslich #skandinavien,NGO,"Klima, Politik"
35,Instagram,Bildung,Eltern fordern kleinere Klassen,Protestierende mit Plakaten vor einem Schulgebäude,negativ,#klassen #eltern,Influencer,"Politik, Technologie"
36,Facebook,Bildung,Digitale Bildung muss für alle zugänglich sein,Laptop im Klassenzimmer mit Kindern davor,negativ,#sein #muss,Partei,"Wirtschaft, Essen"
37,TikTok,Technologie,Drohnenaufnahmen eröffnen neue Perspektiven,Luftbild von Stadt mit Drohne im Vordergrund,negativ,#perspektiven #eröffnen,Privatperson,"Sport, Bildung"
38,Facebook,Essen,Streetfood in Istanbul – ein Geschmackserlebnis,Dampfender Kebab mit Beilagen auf einem Pappteller,positiv,#istanbul #geschmackserlebnis,Influencer,"Bildung, Reisen"
39,Instagram,Essen,Selbstgemachte Marmelade wie bei Oma,Einmachgläser mit Etiketten auf Holztisch,positiv,#bei #oma,Unternehmen,"Politik, Essen"
40,Instagram,Essen,Vegane Burger sind meine neue Leidenschaft!,Nahaufnahme von einem bunten veganen Burger,negativ,#burger #leidenschaft,Unternehmen,"Sport, Musik"
41,Instagram,Essen,Hausgemachte Pasta mit Pesto – einfach herrlich,Frische Pasta mit grünem Pesto auf Keramikteller,positiv,#– #herrlich,Influencer,"Wirtschaft, Sport"
42,Facebook,Wirtschaft,Inflation betrifft uns alle – gerechte Löhne jetzt!,Demonstration mit Transparenten vor einer Bank,negativ,#löhne #betrifft,Unternehmen,"Technologie, Essen"
43,Instagram,Klima,Kipppunkte vermeiden – jetzt handeln!,Eisschollen im Schmelzprozess in der Arktis,negativ,#jetzt #vermeiden,Influencer,"Politik, Technologie"
44,Instagram,Bildung,Mehr Investitionen in frühkindliche Bildung,Kindergarten mit lachenden Kindern im Garten,neutral,#in #frühkindliche,Privatperson,"Essen, Politik"
45,Instagram,Sport,Was für ein Spiel gestern – pure Spannung!,Fußballspieler beim Torschuss im Stadion,neutral,#spannung #gestern,NGO,"Politik, Essen"
46,Facebook,Wirtschaft,Regionale Produkte stärken unsere Wirtschaft,Marktstand mit regionalem Obst und Gemüse,positiv,#produkte #unsere,Unternehmen,"Politik, Reisen"
47,Instagram,Musik,Musikfestival im Wald – magische Atmosphäre,Lichterketten zwischen Bäumen bei Nacht,positiv,#magische #musikfestival,Privatperson,"Reisen, Musik"
48,TikTok,Wirtschaft,Mindestlohn an Lebenshaltung anpassen!,Münzen und Scheine auf einem Einkaufszettel,negativ,#an #anpassen,Privatperson,"Sport, Reisen"
49,TikTok,Klima,Wassermangel ist längst Realität,Rissige Erde unter einem klaren Himmel,neutral,#realität #ist,Influencer,"Klima, Wirtschaft"
50,Facebook,Sport,Tennis-Turnier in München – Finale war Wahnsinn!,Tennisspielerin beim Aufschlag vor Publikum,negativ,#in #–,Influencer,"Klima, Bildung"
51,Instagram,Klima,Jeder Baum zählt – wir pflanzen für die Zukunft,Freiwillige beim Bäume pflanzen auf einem Feld,negativ,#zählt #wir,Partei,"Technologie, Wirtschaft"
52,TikTok,Technologie,Smart Home Setup endlich komplett!,Moderne Wohnung mit vernetztem Lichtsystem,negativ,#komplett #smart,Unternehmen,"Technologie, Sport"
53,Facebook,Politik,Wir müssen den Lobbyismus endlich eindämmen,Illustration von Geldscheinen in einer Politikerhand,negativ,#müssen #den,Privatperson,"Reisen, Politik"
54,Instagram,Sport,Ein Erlebnis in ein Treffen mit kulturelle Vielfalt.,Kind mit Buch auf einer Wiese,neutral,#ein #mit,Influencer,"Politik, Musik"
55,TikTok,Bildung,Wir brauchen dringend eine Aktion zu faire Löhne.,Publikum mit bunten Lichtern,neutral,#zu #faire,Privatperson,"Essen, Politik"
56,TikTok,Technologie,So sieht einen Vortrag über Jugendpolitik.,Familie auf dem Markt mit Einkaufstaschen,neutral,#jugendpolitik #sieht,Partei,"Technologie, Musik"
57,Instagram,Politik,Endlich wieder ein Treffen mit kulturelle Vielfalt.,Menschen mit Schildern vor dem Rathaus,negativ,#vielfalt #treffen,NGO,"Musik, Klima"
58,Instagram,Bildung,Gemeinsam für eine Wanderung durch Demokratie.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#durch #demokratie,NGO,"Klima, Technologie"
59,Facebook,Sport,Gemeinsam für eine Wanderung durch Bildung.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#durch #bildung,Influencer,"Reisen, Politik"
60,TikTok,Essen,Ich war gestern bei eine Aktion zu gesunde Ernährung.,Zelt mit Transparenten im Stadtpark,positiv,#gestern #eine,Influencer,"Technologie, Politik"
61,Facebook,Reisen,Ein Erlebnis in ein Konzert in soziale Gerechtigkeit.,Schüler in einem Klassenzimmer mit Tablets,negativ,#soziale #in,Influencer,"Bildung, Wirtschaft"
62,TikTok,Technologie,Wir brauchen dringend eine Diskussion zu Demokratie.,Zelt mit Transparenten im Stadtpark,negativ,#demokratie #wir,Privatperson,"Wirtschaft, Politik"
63,Instagram,Musik,Heute gab es eine Aktion zu soziale Gerechtigkeit.,Schüler in einem Klassenzimmer mit Tablets,negativ,#heute #soziale,Influencer,"Essen, Technologie"
64,TikTok,Reisen,Wir brauchen dringend eine Diskussion zu soziale Gerechtigkeit.,Schüler in einem Klassenzimmer mit Tablets,positiv,#brauchen #diskussion,Influencer,"Politik, Bildung"
65,TikTok,Klima,Gemeinsam für ein Treffen mit Demokratie.,Publikum mit bunten Lichtern,negativ,#ein #treffen,Partei,"Politik, Wirtschaft"
66,Facebook,Technologie,Wir brauchen dringend einen Vortrag über Bildung.,Kind mit Buch auf einer Wiese,negativ,#über #bildung,Influencer,"Musik, Wirtschaft"
67,TikTok,Sport,Endlich wieder eine Diskussion zu faire Löhne.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#faire #löhne,Privatperson,"Klima, Essen"
68,Instagram,Technologie,Endlich wieder eine Wanderung durch Jugendpolitik.,Kind mit Buch auf einer Wiese,negativ,#wieder #wanderung,Unternehmen,"Sport, Musik"
69,Instagram,Sport,Viele Menschen demonstrieren für eine Aktion zu digitale Teilhabe.,eine Bühne mit Rednerin im Rampenlicht,negativ,#menschen #teilhabe,Unternehmen,"Politik, Essen"
70,Facebook,Bildung,Ein Erlebnis in eine Demo für Bildung.,Familie auf dem Markt mit Einkaufstaschen,negativ,#ein #erlebnis,Unternehmen,"Sport, Klima"
71,Facebook,Wirtschaft,So sieht eine Wanderung durch soziale Gerechtigkeit.,eine Gruppe mit Fahrrädern auf der Straße,positiv,#so #wanderung,Influencer,"Musik, Klima"
72,TikTok,Klima,So sieht einen Workshop zu kulturelle Vielfalt.,Zelt mit Transparenten im Stadtpark,neutral,#einen #workshop,Influencer,"Essen, Politik"
73,TikTok,Technologie,So sieht ein Treffen mit faire Löhne.,eine Bühne mit Rednerin im Rampenlicht,negativ,#löhne #sieht,Influencer,"Technologie, Wirtschaft"
74,Facebook,Musik,Ich war gestern bei eine Wanderung durch gesunde Ernährung.,eine Bühne mit Rednerin im Rampenlicht,neutral,#war #gestern,Privatperson,"Politik, Essen"
75,Instagram,Technologie,Endlich wieder eine Demo für Klimaschutz.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#demo #endlich,Influencer,"Bildung, Musik"
76,TikTok,Essen,Ein Erlebnis in eine Aktion zu Jugendpolitik.,eine Gruppe mit Fahrrädern auf der Straße,positiv,#aktion #eine,Influencer,"Musik, Klima"
77,TikTok,Politik,Ein Erlebnis in ein Treffen mit Bildung.,Schüler in einem Klassenzimmer mit Tablets,neutral,#mit #erlebnis,Unternehmen,"Bildung, Politik"
78,Instagram,Politik,Wir brauchen dringend eine Aktion zu Jugendpolitik.,Familie auf dem Markt mit Einkaufstaschen,positiv,#zu #jugendpolitik,NGO,"Technologie, Essen"
79,TikTok,Klima,Wir brauchen dringend einen Workshop zu Bildung.,Menschen mit Schildern vor dem Rathaus,neutral,#zu #einen,Partei,"Wirtschaft, Bildung"
80,Facebook,Bildung,Endlich wieder eine Diskussion zu soziale Gerechtigkeit.,Publikum mit bunten Lichtern,positiv,#eine #endlich,Partei,"Reisen, Musik"
81,TikTok,Wirtschaft,Heute gab es eine Demo für Bildung.,Menschen mit Schildern vor dem Rathaus,neutral,#demo #es,Influencer,"Klima, Wirtschaft"
82,Instagram,Sport,Ich war gestern bei ein Treffen mit gesunde Ernährung.,Zelt mit Transparenten im Stadtpark,negativ,#war #ernährung,Privatperson,"Reisen, Musik"
83,Instagram,Reisen,Wir brauchen dringend einen Vortrag über gesunde Ernährung.,Familie auf dem Markt mit Einkaufstaschen,neutral,#wir #über,Unternehmen,"Technologie, Reisen"
84,TikTok,Technologie,Wir brauchen dringend eine Aktion zu soziale Gerechtigkeit.,Menschen mit Schildern vor dem Rathaus,positiv,#aktion #dringend,Privatperson,"Politik, Sport"
85,Instagram,Sport,Wir brauchen dringend eine Demo für Bildung.,Kind mit Buch auf einer Wiese,neutral,#demo #eine,Influencer,"Reisen, Klima"
86,Facebook,Wirtschaft,Ich war gestern bei eine Demo für Klimaschutz.,Menschen mit Schildern vor dem Rathaus,positiv,#klimaschutz #demo,Unternehmen,"Musik, Reisen"
87,TikTok,Sport,Viele Menschen demonstrieren für eine Demo für Klimaschutz.,eine Bühne mit Rednerin im Rampenlicht,positiv,#klimaschutz #demonstrieren,Partei,"Reisen, Bildung"
88,Instagram,Technologie,Heute gab es einen Workshop zu faire Löhne.,Schüler in einem Klassenzimmer mit Tablets,neutral,#löhne #gab,Privatperson,"Sport, Bildung"
89,Facebook,Technologie,So sieht einen Vortrag über Jugendpolitik.,Kind mit Buch auf einer Wiese,positiv,#sieht #jugendpolitik,Influencer,"Wirtschaft, Klima"
90,Facebook,Essen,Ein Erlebnis in eine Wanderung durch Klimaschutz.,eine Bühne mit Rednerin im Rampenlicht,positiv,#erlebnis #klimaschutz,Partei,"Essen, Reisen"
91,Instagram,Politik,Ein Erlebnis in einen Workshop zu faire Löhne.,eine Bühne mit Rednerin im Rampenlicht,positiv,#löhne #erlebnis,NGO,"Wirtschaft, Essen"
92,Instagram,Technologie,Heute gab es eine Demo für Bildung.,Schüler in einem Klassenzimmer mit Tablets,neutral,#gab #bildung,NGO,"Wirtschaft, Klima"
93,Instagram,Sport,Ich war gestern bei eine Diskussion zu Klimaschutz.,Kind mit Buch auf einer Wiese,negativ,#eine #ich,Influencer,"Musik, Technologie"
94,Instagram,Politik,Heute gab es eine Demo für Klimaschutz.,Familie auf dem Markt mit Einkaufstaschen,neutral,#eine #es,Partei,"Reisen, Essen"
95,Facebook,Bildung,Endlich wieder eine Aktion zu Demokratie.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#endlich #zu,NGO,"Technologie, Politik"
96,Instagram,Musik,Ich war gestern bei eine Demo für kulturelle Vielfalt.,Schüler in einem Klassenzimmer mit Tablets,neutral,#für #gestern,Unternehmen,"Essen, Wirtschaft"
97,Instagram,Technologie,Ich war gestern bei ein Treffen mit faire Löhne.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#ich #gestern,Partei,"Politik, Wirtschaft"
98,Instagram,Essen,Heute gab es eine Diskussion zu Demokratie.,Zelt mit Transparenten im Stadtpark,positiv,#zu #heute,NGO,"Klima, Wirtschaft"
99,Facebook,Musik,Wir brauchen dringend einen Workshop zu mehr Fahrradwege.,Zelt mit Transparenten im Stadtpark,negativ,#dringend #workshop,NGO,"Sport, Klima"
100,Instagram,Klima,Ein Erlebnis in ein Konzert in digitale Teilhabe.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#in #digitale,Privatperson,"Technologie, Klima"
101,Facebook,Bildung,Gemeinsam für eine Aktion zu kulturelle Vielfalt.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#gemeinsam #kulturelle,Influencer,"Politik, Wirtschaft"
102,Facebook,Reisen,Ich war gestern bei eine Diskussion zu gesunde Ernährung.,eine Bühne mit Rednerin im Rampenlicht,neutral,#ich #war,Privatperson,"Musik, Technologie"
103,Facebook,Technologie,Gemeinsam für einen Workshop zu Bildung.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#zu #einen,Influencer,"Klima, Essen"
104,Facebook,Politik,Endlich wieder eine Aktion zu Bildung.,Schüler in einem Klassenzimmer mit Tablets,positiv,#bildung #zu,Unternehmen,"Politik, Musik"
105,Instagram,Essen,Wir brauchen dringend eine Wanderung durch Klimaschutz.,Menschen mit Schildern vor dem Rathaus,negativ,#brauchen #wir,Partei,"Reisen, Wirtschaft"
106,Facebook,Bildung,Ich war gestern bei ein Treffen mit Bildung.,Schüler in einem Klassenzimmer mit Tablets,negativ,#gestern #mit,Unternehmen,"Bildung, Reisen"
107,TikTok,Klima,Viele Menschen demonstrieren für eine Diskussion zu Bildung.,Schüler in einem Klassenzimmer mit Tablets,negativ,#eine #bildung,Influencer,"Musik, Klima"
108,Facebook,Technologie,Ein Erlebnis in eine Demo für Jugendpolitik.,Menschen mit Schildern vor dem Rathaus,negativ,#erlebnis #eine,NGO,"Bildung, Essen"
109,Facebook,Reisen,Gemeinsam für einen Vortrag über digitale Teilhabe.,Schüler in einem Klassenzimmer mit Tablets,neutral,#für #teilhabe,Unternehmen,"Bildung, Politik"
110,Instagram,Technologie,Ich war gestern bei ein Konzert in Jugendpolitik.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#gestern #war,Unternehmen,"Klima, Technologie"
111,Instagram,Essen,So sieht einen Workshop zu faire Löhne.,Zelt mit Transparenten im Stadtpark,negativ,#einen #zu,Privatperson,"Reisen, Politik"
112,Instagram,Bildung,Gemeinsam für einen Vortrag über Jugendpolitik.,Kind mit Buch auf einer Wiese,negativ,#vortrag #jugendpolitik,Privatperson,"Politik, Bildung"
113,TikTok,Klima,Heute gab es ein Konzert in Klimaschutz.,Menschen mit Schildern vor dem Rathaus,negativ,#heute #konzert,Unternehmen,"Klima, Sport"
114,TikTok,Bildung,Heute gab es eine Diskussion zu Bildung.,Publikum mit bunten Lichtern,negativ,#diskussion #heute,NGO,"Wirtschaft, Essen"
115,TikTok,Politik,Ein Erlebnis in ein Konzert in Demokratie.,Menschen mit Schildern vor dem Rathaus,neutral,#konzert #erlebnis,Privatperson,"Klima, Reisen"
116,Facebook,Musik,Wir brauchen dringend eine Diskussion zu soziale Gerechtigkeit.,Kind mit Buch auf einer Wiese,neutral,#zu #eine,Privatperson,"Klima, Bildung"
117,Instagram,Klima,Endlich wieder eine Wanderung durch faire Löhne.,eine Bühne mit Rednerin im Rampenlicht,positiv,#eine #wieder,Influencer,"Bildung, Sport"
118,Instagram,Bildung,Endlich wieder eine Aktion zu Demokratie.,eine Bühne mit Rednerin im Rampenlicht,positiv,#wieder #aktion,Unternehmen,"Technologie, Sport"
119,Instagram,Sport,Wir brauchen dringend ein Treffen mit Jugendpolitik.,eine Bühne mit Rednerin im Rampenlicht,positiv,#treffen #wir,Influencer,"Wirtschaft, Reisen"
120,Instagram,Bildung,Ich war gestern bei eine Wanderung durch faire Löhne.,Menschen mit Schildern vor dem Rathaus,neutral,#bei #war,Partei,"Wirtschaft, Technologie"
121,Instagram,Sport,Gemeinsam für eine Wanderung durch Klimaschutz.,Publikum mit bunten Lichtern,neutral,#durch #klimaschutz,Privatperson,"Essen, Politik"
122,Instagram,Musik,So sieht ein Treffen mit kulturelle Vielfalt.,Familie auf dem Markt mit Einkaufstaschen,positiv,#mit #so,Privatperson,"Reisen, Sport"
123,TikTok,Wirtschaft,Gemeinsam für einen Vortrag über digitale Teilhabe.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#vortrag #digitale,Unternehmen,"Essen, Bildung"
124,Facebook,Bildung,Gemeinsam für eine Diskussion zu soziale Gerechtigkeit.,Schüler in einem Klassenzimmer mit Tablets,negativ,#gemeinsam #eine,NGO,"Musik, Wirtschaft"
125,Facebook,Klima,Ein Erlebnis in einen Workshop zu digitale Teilhabe.,Familie auf dem Markt mit Einkaufstaschen,positiv,#ein #digitale,NGO,"Sport, Politik"
126,Instagram,Bildung,Ein Erlebnis in einen Workshop zu soziale Gerechtigkeit.,Kind mit Buch auf einer Wiese,neutral,#zu #gerechtigkeit,Influencer,"Politik, Bildung"
127,Instagram,Klima,Ein Erlebnis in einen Vortrag über faire Löhne.,Publikum mit bunten Lichtern,positiv,#über #ein,Privatperson,"Technologie, Essen"
128,Instagram,Politik,Endlich wieder einen Vortrag über Klimaschutz.,Schüler in einem Klassenzimmer mit Tablets,negativ,#einen #über,NGO,"Technologie, Sport"
129,TikTok,Reisen,So sieht einen Vortrag über soziale Gerechtigkeit.,Schüler in einem Klassenzimmer mit Tablets,positiv,#einen #vortrag,Unternehmen,"Bildung, Reisen"
130,Instagram,Technologie,So sieht eine Wanderung durch Bildung.,Menschen mit Schildern vor dem Rathaus,negativ,#so #sieht,Influencer,"Musik, Technologie"
131,Facebook,Politik,Heute gab es eine Aktion zu soziale Gerechtigkeit.,Schüler in einem Klassenzimmer mit Tablets,neutral,#gerechtigkeit #gab,Influencer,"Technologie, Wirtschaft"
132,TikTok,Klima,Gemeinsam für eine Wanderung durch faire Löhne.,Publikum mit bunten Lichtern,negativ,#löhne #wanderung,NGO,"Politik, Reisen"
133,Facebook,Technologie,Endlich wieder einen Workshop zu Jugendpolitik.,eine Bühne mit Rednerin im Rampenlicht,positiv,#einen #workshop,Influencer,"Sport, Essen"
134,Facebook,Wirtschaft,Heute gab es eine Demo für Demokratie.,eine Bühne mit Rednerin im Rampenlicht,neutral,#demo #es,Partei,"Wirtschaft, Technologie"
135,Instagram,Politik,So sieht ein Konzert in kulturelle Vielfalt.,Zelt mit Transparenten im Stadtpark,neutral,#kulturelle #so,NGO,"Wirtschaft, Musik"
136,TikTok,Essen,Ein Erlebnis in eine Demo für soziale Gerechtigkeit.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#gerechtigkeit #ein,Unternehmen,"Wirtschaft, Essen"
137,TikTok,Musik,Viele Menschen demonstrieren für ein Treffen mit gesunde Ernährung.,eine Bühne mit Rednerin im Rampenlicht,neutral,#ein #menschen,Influencer,"Klima, Essen"
138,Instagram,Reisen,So sieht ein Treffen mit Demokratie.,Zelt mit Transparenten im Stadtpark,neutral,#ein #sieht,Unternehmen,"Wirtschaft, Sport"
139,Facebook,Klima,Ich war gestern bei eine Demo für kulturelle Vielfalt.,Zelt mit Transparenten im Stadtpark,negativ,#vielfalt #gestern,Unternehmen,"Klima, Politik"
140,Facebook,Essen,So sieht ein Konzert in Klimaschutz.,Familie auf dem Markt mit Einkaufstaschen,negativ,#in #klimaschutz,Privatperson,"Klima, Essen"
141,Facebook,Reisen,Wir brauchen dringend einen Vortrag über faire Löhne.,Schüler in einem Klassenzimmer mit Tablets,negativ,#wir #brauchen,Unternehmen,"Politik, Klima"
142,Facebook,Sport,So sieht ein Treffen mit kulturelle Vielfalt.,Publikum mit bunten Lichtern,positiv,#kulturelle #vielfalt,Unternehmen,"Bildung, Reisen"
143,Facebook,Reisen,Ich war gestern bei einen Workshop zu Jugendpolitik.,Publikum mit bunten Lichtern,neutral,#workshop #war,Partei,"Essen, Musik"
144,Instagram,Musik,Endlich wieder einen Vortrag über faire Löhne.,Publikum mit bunten Lichtern,neutral,#wieder #faire,NGO,"Sport, Essen"
145,Instagram,Politik,Ich war gestern bei eine Diskussion zu Jugendpolitik.,Publikum mit bunten Lichtern,negativ,#war #zu,Influencer,"Wirtschaft, Klima"
146,Facebook,Technologie,Gemeinsam für eine Demo für soziale Gerechtigkeit.,Familie auf dem Markt mit Einkaufstaschen,neutral,#soziale #eine,Influencer,"Musik, Sport"
147,Facebook,Technologie,Viele Menschen demonstrieren für einen Workshop zu Demokratie.,Zelt mit Transparenten im Stadtpark,neutral,#demokratie #viele,Unternehmen,"Wirtschaft, Sport"
148,Facebook,Essen,Ein Erlebnis in ein Treffen mit Klimaschutz.,Zelt mit Transparenten im Stadtpark,neutral,#ein #in,NGO,"Musik, Technologie"
149,Facebook,Politik,Ich war gestern bei eine Wanderung durch gesunde Ernährung.,Familie auf dem Markt mit Einkaufstaschen,negativ,#durch #gestern,Unternehmen,"Reisen, Wirtschaft"
150,TikTok,Klima,Viele Menschen demonstrieren für eine Aktion zu Jugendpolitik.,Publikum mit bunten Lichtern,negativ,#menschen #zu,Partei,"Musik, Sport"
151,Instagram,Essen,Ein Erlebnis in einen Workshop zu faire Löhne.,eine Bühne mit Rednerin im Rampenlicht,neutral,#ein #faire,Unternehmen,"Klima, Bildung"
152,Instagram,Technologie,Wir brauchen dringend eine Diskussion zu Demokratie.,eine Gruppe mit Fahrrädern auf der Straße,positiv,#diskussion #wir,Partei,"Klima, Bildung"
153,Facebook,Politik,Endlich wieder eine Wanderung durch Bildung.,Kind mit Buch auf einer Wiese,negativ,#wieder #endlich,Influencer,"Sport, Politik"
154,TikTok,Sport,Wir brauchen dringend eine Demo für soziale Gerechtigkeit.,Schüler in einem Klassenzimmer mit Tablets,negativ,#brauchen #dringend,Privatperson,"Technologie, Bildung"
155,Facebook,Technologie,So sieht einen Vortrag über Bildung.,Schüler in einem Klassenzimmer mit Tablets,positiv,#über #einen,Influencer,"Politik, Bildung"
156,Facebook,Sport,Endlich wieder eine Aktion zu Bildung.,Publikum mit bunten Lichtern,neutral,#aktion #zu,Partei,"Essen, Klima"
157,Facebook,Klima,Wir brauchen dringend eine Aktion zu Klimaschutz.,Publikum mit bunten Lichtern,neutral,#brauchen #aktion,Partei,"Essen, Musik"
158,Instagram,Reisen,Ein Erlebnis in einen Vortrag über gesunde Ernährung.,Familie auf dem Markt mit Einkaufstaschen,positiv,#gesunde #vortrag,Unternehmen,"Wirtschaft, Klima"
