beitrag_id,plattform,kategorie,beitragstext,bildbeschreibung,sentiment,hashtags,autor_typ,verlinkte_themen
98,Instagram,Essen,Heute gab es eine Diskussion zu Demokratie.,Zelt mit Transparenten im Stadtpark,positiv,#roadtrip #jamsession #bildungfüralle,NGO,"Klima, Wirtschaft"
99,Facebook,Musik,Wir brauchen dringend einen Workshop zu mehr Fahrradwege.,Zelt mit Transparenten im Stadtpark,negativ,#chor #musikliebe #vinyl #konzert,NGO,"Sport, Klima"
100,Instagram,Klima,Ein Erlebnis in ein Konzert in digitale Teilhabe.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#blockchain #wanderlust #lernen,Privatperson,"Technologie, Klima"
101,Facebook,Bildung,Gemeinsam für eine Aktion zu kulturelle Vielfalt.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#vortrag #uni #lernen,Influencer,"Politik, Wirtschaft"
102,Facebook,Reisen,Ich war gestern bei eine Diskussion zu gesunde Ernährung.,eine Bühne mit Rednerin im Rampenlicht,neutral,#bergliebe #citytrip #abenteuer,Privatperson,"Musik, Technologie"
103,Facebook,Technologie,Gemeinsam für einen Workshop zu Bildung.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#digitalisierung #startups #ki #robotik,Influencer,"Klima, Essen"
104,Facebook,Politik,Endlich wieder eine Aktion zu Bildung.,Schüler in einem Klassenzimmer mit Tablets,positiv,#meinemeinung #gerechtigkeit #klimapolitik,Unternehmen,"Politik, Musik"
105,Instagram,Essen,Wir brauchen dringend eine Wanderung durch Klimaschutz.,Menschen mit Schildern vor dem Rathaus,negativ,#fussball #schule #digitalisierung,Partei,"Reisen, Wirtschaft"
106,Facebook,Bildung,Ich war gestern bei ein Treffen mit Bildung.,Schüler in einem Klassenzimmer mit Tablets,negativ,#uni #wissen #lernen,Unternehmen,"Bildung, Reisen"
107,TikTok,Klima,Viele Menschen demonstrieren für eine Diskussion zu Bildung.,Schüler in einem Klassenzimmer mit Tablets,negativ,#innovation #engagement #lernen,Influencer,"Musik, Klima"
108,Facebook,Technologie,Ein Erlebnis in eine Demo für Jugendpolitik.,Menschen mit Schildern vor dem Rathaus,negativ,#blockchain #robotik,NGO,"Bildung, Essen"
109,Facebook,Reisen,Gemeinsam für einen Vortrag über digitale Teilhabe.,Schüler in einem Klassenzimmer mit Tablets,neutral,#bergliebe #wanderlust #meerliebe,Unternehmen,"Bildung, Politik"
110,Instagram,Technologie,Ich war gestern bei ein Konzert in Jugendpolitik.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#robotik #digitalisierung,Unternehmen,"Klima, Technologie"
111,Instagram,Essen,So sieht einen Workshop zu faire Löhne.,Zelt mit Transparenten im Stadtpark,negativ,#robotik #jamsession #fussball,Privatperson,"Reisen, Politik"
112,Instagram,Bildung,Gemeinsam für einen Vortrag über Jugendpolitik.,Kind mit Buch auf einer Wiese,negativ,#schule #wissen #bildungfüralle #uni,Privatperson,"Politik, Bildung"
113,TikTok,Klima,Heute gab es ein Konzert in Klimaschutz.,Menschen mit Schildern vor dem Rathaus,negativ,#klimapolitik #bergliebe #innovation,Unternehmen,"Klima, Sport"
114,TikTok,Bildung,Heute gab es eine Diskussion zu Bildung.,Publikum mit bunten Lichtern,negativ,#vortrag #lernen,NGO,"Wirtschaft, Essen"
115,TikTok,Politik,Ein Erlebnis in ein Konzert in Demokratie.,Menschen mit Schildern vor dem Rathaus,neutral,#wahlen #gerechtigkeit,Privatperson,"Klima, Reisen"
116,Facebook,Musik,Wir brauchen dringend eine Diskussion zu soziale Gerechtigkeit.,Kind mit Buch auf einer Wiese,neutral,#beats #chor,Privatperson,"Klima, Bildung"
117,Instagram,Klima,Endlich wieder eine Wanderung durch faire Löhne.,eine Bühne mit Rednerin im Rampenlicht,positiv,#musikliebe #gerechtigkeit #jamsession,Influencer,"Bildung, Sport"
118,Instagram,Bildung,Endlich wieder eine Aktion zu Demokratie.,eine Bühne mit Rednerin im Rampenlicht,positiv,#bildungfüralle #lernen #schule,Unternehmen,"Technologie, Sport"
119,Instagram,Sport,Wir brauchen dringend ein Treffen mit Jugendpolitik.,eine Bühne mit Rednerin im Rampenlicht,positiv,#fitness #fussball,Influencer,"Wirtschaft, Reisen"
120,Instagram,Bildung,Ich war gestern bei eine Wanderung durch faire Löhne.,Menschen mit Schildern vor dem Rathaus,neutral,#wissen #schule,Partei,"Wirtschaft, Technologie"
121,Instagram,Sport,Gemeinsam für eine Wanderung durch Klimaschutz.,Publikum mit bunten Lichtern,neutral,#fitness #marathon #basketball #skaten,Privatperson,"Essen, Politik"
122,Instagram,Musik,So sieht ein Treffen mit kulturelle Vielfalt.,Familie auf dem Markt mit Einkaufstaschen,positiv,#beats #bandlife #vinyl,Privatperson,"Reisen, Sport"
123,TikTok,Wirtschaft,Gemeinsam für einen Vortrag über digitale Teilhabe.,eine Gruppe mit Fahrrädern auf der Straße,neutral,#lernen #skaten #fitness,Unternehmen,"Essen, Bildung"
124,Facebook,Bildung,Gemeinsam für eine Diskussion zu soziale Gerechtigkeit.,Schüler in einem Klassenzimmer mit Tablets,negativ,#uni #wissen #bildungfüralle #lernen,NGO,"Musik, Wirtschaft"
125,Facebook,Klima,Ein Erlebnis in einen Workshop zu digitale Teilhabe.,Familie auf dem Markt mit Einkaufstaschen,positiv,#vinyl #bandlife #bildungfüralle,NGO,"Sport, Politik"
126,Instagram,Bildung,Ein Erlebnis in einen Workshop zu soziale Gerechtigkeit.,Kind mit Buch auf einer Wiese,neutral,#wissen #lernen,Influencer,"Politik, Bildung"
127,Instagram,Klima,Ein Erlebnis in einen Vortrag über faire Löhne.,Publikum mit bunten Lichtern,positiv,#musikliebe #lernen #vortrag,Privatperson,"Technologie, Essen"
128,Instagram,Politik,Endlich wieder einen Vortrag über Klimaschutz.,Schüler in einem Klassenzimmer mit Tablets,negativ,#demokratie #gerechtigkeit,NGO,"Technologie, Sport"
129,TikTok,Reisen,So sieht einen Vortrag über soziale Gerechtigkeit.,Schüler in einem Klassenzimmer mit Tablets,positiv,#bergliebe #abenteuer #roadtrip #wanderlust,Unternehmen,"Bildung, Reisen"
130,Instagram,Technologie,So sieht eine Wanderung durch Bildung.,Menschen mit Schildern vor dem Rathaus,negativ,#blockchain #robotik,Influencer,"Musik, Technologie"
131,Facebook,Politik,Heute gab es eine Aktion zu soziale Gerechtigkeit.,Schüler in einem Klassenzimmer mit Tablets,neutral,#meinemeinung #demokratie #klimapolitik #wahlen,Influencer,"Technologie, Wirtschaft"
132,TikTok,Klima,Gemeinsam für eine Wanderung durch faire Löhne.,Publikum mit bunten Lichtern,negativ,#vortrag #wanderlust #radfahren,NGO,"Politik, Reisen"
133,Facebook,Technologie,Endlich wieder einen Workshop zu Jugendpolitik.,eine Bühne mit Rednerin im Rampenlicht,positiv,#ki #robotik,Influencer,"Sport, Essen"
134,Facebook,Wirtschaft,Heute gab es eine Demo für Demokratie.,eine Bühne mit Rednerin im Rampenlicht,neutral,#marathon #blockchain #schule,Partei,"Wirtschaft, Technologie"
135,Instagram,Politik,So sieht ein Konzert in kulturelle Vielfalt.,Zelt mit Transparenten im Stadtpark,neutral,#klimapolitik #demokratie,NGO,"Wirtschaft, Musik"
136,TikTok,Essen,Ein Erlebnis in eine Demo für soziale Gerechtigkeit.,eine Gruppe mit Fahrrädern auf der Straße,negativ,#uni #klimapolitik #wahlen,Unternehmen,"Wirtschaft, Essen"
137,TikTok,Musik,Viele Menschen demonstrieren für ein Treffen mit gesunde Ernährung.,eine Bühne mit Rednerin im Rampenlicht,neutral,#konzert #musikliebe,Influencer,"Klima, Essen"
138,Instagram,Reisen,So sieht ein Treffen mit Demokratie.,Zelt mit Transparenten im Stadtpark,neutral,#citytrip #abenteuer,Unternehmen,"Wirtschaft, Sport"
139,Facebook,Klima,Ich war gestern bei eine Demo für kulturelle Vielfalt.,Zelt mit Transparenten im Stadtpark,negativ,#musikliebe #robotik #vinyl,Unternehmen,"Klima, Politik"
140,Facebook,Essen,So sieht ein Konzert in Klimaschutz.,Familie auf dem Markt mit Einkaufstaschen,negativ,#bandlife #ki #fussball,Privatperson,"Klima, Essen"
141,Facebook,Reisen,Wir brauchen dringend einen Vortrag über faire Löhne.,Schüler in einem Klassenzimmer mit Tablets,negativ,#meerliebe #citytrip,Unternehmen,"Politik, Klima"
142,Facebook,Sport,So sieht ein Treffen mit kulturelle Vielfalt.,Publikum mit bunten Lichtern,positiv,#basketball #fitness #skaten,Unternehmen,"Bildung, Reisen"
143,Facebook,Reisen,Ich war gestern bei einen Workshop zu Jugendpolitik.,Publikum mit bunten Lichtern,neutral,#bergliebe #roadtrip #citytrip,Partei,"Essen, Musik"
144,Instagram,Musik,Endlich wieder einen Vortrag über faire Löhne.,Publikum mit bunten Lichtern,neutral,#bandlife #musikliebe #vinyl #jamsession,NGO,"Sport, Essen"
145,Instagram,Politik,Ich war gestern bei eine Diskussion zu Jugendpolitik.,Publikum mit bunten Lichtern,negativ,#meinemeinung #engagement #gerechtigkeit,Influencer,"Wirtschaft, Klima"
146,Facebook,Technologie,Gemeinsam für eine Demo für soziale Gerechtigkeit.,Familie auf dem Markt mit Einkaufstaschen,neutral,#startups #blockchain #innovation,Influencer,"Musik, Sport"
147,Facebook,Technologie,Viele Menschen demonstrieren für einen Workshop zu Demokratie.,Zelt mit Transparenten im Stadtpark,neutral,#startups #robotik #digitalisierung,Unternehmen,"Wirtschaft, Sport"
